SMILES,pKa_num,pKa_value
CC(=O)N(O)CCCC1NC(=O)C(CCCN(O)C(C)=O)NC1=O,2,"[8.49, 9.44]"
C1CN2CCN1CC2,2,"[2.97, 8.82]"
C1CNCCSCCOCCSCCN1,2,"[5.21, 8.9]"
C1CNCCCNC1,2,"[7.07, 10.65]"
C[C@H](N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(O)=O,2,"[3.31, 8.28]"
C[C@H](N)C(=O)NC(C)(C)C(O)=O,2,"[3.49, 8.22]"
C[C@H](N)C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(O)=O,2,"[3.38, 7.86]"
C[C@H](N)C(=O)NCC(=O)NCC(=O)NCC(O)=O,2,"[3.18, 7.85]"
Cn1cncc1CC(NC(=O)CCN)C(O)=O,2,"[7.03, 9.33]"
C[C@H](N)C(=O)NCC(O)=O,2,"[3.13, 8.11]"
C[C@H](N)C(=O)NO,2,"[7.26, 9.15]"
C[C@H](N)C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(O)=O,2,"[3.34, 8.2]"
FC1(F)C(=O)NCCNCCCNCCNC1=O,2,"[5.18, 9.22]"
FC1(F)CNCCNC(=O)C(F)(F)C(=O)NCCNC1,2,"[1.9, 6.1]"
FC1(F)CNCCNCC(F)(F)CNCCNC1,2,"[6.7, 8.22]"
Cc1ncc(CO)c(C)c1O,2,"[5.36, 9.34]"
Cc1ncc(CO)c(C=O)c1O,2,"[4.1, 8.53]"
Cc1ncc(CO)c(CO)c1O,2,"[4.85, 8.81]"
