Ligand,Name
"4,7,10-Triazatridecanedioic acid [Iminobis(ethyleneiminopropanoic acid)]","4,7,10-Triazatridecanedioic acid [Iminobis(ethyleneiminopropanoic acid)]"
Oxybis(ethyleneiminopropanedioic acid),ethyleneiminopropanedioic acid
"N,N'-Bis(2,2-dimethyl-2-mercaptoethyl)ethylenediimino-1-acetic acid","N,N'-Bis(2,2-dimethyl-2-mercaptoethyl)ethylenediimino-1-acetic acid"
"L,L-Ethylenediimino-2,2'-bis(mercaptomethyl)acetic acid (N,N'-Ethylenedi-L-cysteine)","N,N'-Ethylenedi-L-cysteine"
"N,N'-Bis(2,2-dimethyl-2-mercaptoethyl)ethylenedinitrilodiacetic acid","N,N'-Bis(2,2-dimethyl-2-mercaptoethyl)ethylenedinitrilodiacetic acid"
"N,N'-Bis(2,2-dimethyl-2-mercaptoethyl)-1-[4-(carboxymethoxy)phenylmethyl]ethylenedinitrilodiacetic acid","N,N'-Bis(2,2-dimethyl-2-mercaptoethyl)-1-[4-(carboxymethoxy)phenylmethyl]ethylenedinitrilodiacetic acid"
"Ethane-1,1,1-tris(methyleneiminoacetic acid)",methyleneiminoacetic acid
"cis,cis-Cyclohexane-1,3,5-tris(iminoacetic acid)",iminoacetic acid
"3,3',5,5'-Tetramethyl-2,2'-dipyrrolmethene-4,4'-dicarboxylic acid","3,3',5,5'-Tetramethyl-2,2'-dipyrrolmethene-4,4'-dicarboxylic acid"
N-(4-Methylphenylsulfonyl)ethylenediiminodiacetic acid (N-(4-Tolylsulfonyl)ethylenediiminodiacetic acid),N-(4-Tolylsulfonyl)ethylenediiminodiacetic acid
Nitrilobis(ethyleneimino)tributanedioic acid,Nitrilobis(ethyleneimino)tributanedioic acid
"N,N-Dimethylglycine","N,N-Dimethylglycine"
"N,N-Diethylglycine","N,N-Diethylglycine"
"N,N-Pentamethyleneglycine (Piperidine-N-acetic acid)",Piperidine-N-acetic acid
L-N-Benzylproline,L-N-Benzylproline
"N,N-Bis(phosphonomethyl)glycine","N,N-Bis(phosphonomethyl)glycine"
N-(Carboxymethyl)-N-(2-hydroxyethyl)aminoacetohydroxamic acid,N-(Carboxymethyl)-N-(2-hydroxyethyl)aminoacetohydroxamic acid
"N,N-Bis(2-hydroxyethyl)glycine (Bicine)",Bicine
"DL-N,N-Bis(2-hydroxyethyl)alanine","DL-N,N-Bis(2-hydroxyethyl)alanine"
"N,N-Bis(2-hydroxypropyl)glycine","N,N-Bis(2-hydroxypropyl)glycine"
"N,N-Bis(3-oxo-3-(4-oxa-1-azacyclohexyl)propyl)glycine","N,N-Bis(3-oxo-3-(4-oxa-1-azacyclohexyl)propyl)glycine"
